,Game_result,Citizen,Mafia,Don,Sheriff
6128,город,"['Шер', 'Гость', 'Маг', 'Гость', 'Гость', 'Крёстный отец']","['Afer1st', 'Змея']",Гость,Мишка
6129,город,"['Наполеон', 'Вертинский', 'Руфер', 'Таварес', 'Правда', 'Магистр']","['Гость', 'Diamond21']",Крёстный отец,Феликс
6130,город,"['Правда', 'Наполеон', 'Вертинский', 'Инженер', 'Таварес', 'Diamond21']","['Гость', 'Гость']",Гость,Магистр
6131,город,"['Гость', 'Инженер', 'Правда', 'Магистр', 'Феликс', 'Гость']","['Гость', 'Гость']",Гость,Таварес
6132,мафия,"['Гость', 'Магистр', 'Гость', 'Правда', 'Феликс', 'Маг']","['Инженер', 'Гость']",Гость,Гость
6133,мафия,"['Инженер', 'Магистр', 'Гость', 'Гость', 'Правда', 'Гость']","['Гость', 'Маг']",Феликс,Гость
6134,мафия,"['Крёстный отец', 'Светлячок', 'Paolo', 'Юрия', 'Феликс', 'Мосби']","['Зефирка', 'Гость']",Наполеон,Оркестр
6135,город,"['Гость', 'Искра', 'Оркестр', 'Зефирка', 'Paolo', 'Мишка']","['Светлячок', 'Бильбо']",Феликс,Мосби
6136,мафия,"['Бильбо', 'Крёстный отец', 'Мосби', 'Оркестр', 'Феликс', 'Мишка']","['Paolo', 'Светлячок']",Юрия,Гость
6137,город,"['Чешир', 'Инженер', 'Оркестр', 'Юрия', 'Гость', 'Крёстный отец']","['Мишок', 'Гость']",Мишка,Руфер
6138,город,"['Юрия', 'Мишок', 'Феликс', 'Оркестр', 'Чешир', 'Руфер']","['Инженер', 'Гость']",Мишка,Гость
6139,мафия,"['Мишок', 'Мишка', 'Инженер', 'Гость', 'Феликс', 'Гость']","['Чешир', 'Руфер']",Оркестр,Гость
6140,мафия,"['Инженер', 'Оркестр', 'Руфер', 'Гость', 'Феликс', 'Мишка']","['Юрия', 'Гость']",Чешир,БРОНКС
6141,мафия,"['Гость', 'Руфер', 'Оркестр', 'Мишок', 'Инженер', 'Гость']","['БРОНКС', 'Юрия']",Крёстный отец,Diamond21
6142,город,"['Мосби', 'Гость', 'Наркоманка', 'Гость', 'Гость', 'Чиж']","['Оркестр', 'Savitar']",Феликс,Номерок
6143,мафия,"['Гость', 'Гость', 'Номерок', 'Гость', 'Гость', 'Гость']","['Оркестр', 'Феликс']",Мосби,Savitar
6144,город,"['Гость', 'Гость', 'Гость', 'Гость', 'Savitar', 'Оркестр']","['Номерок', 'Мосби']",Гость,Гость
6145,мафия,"['Юстас', 'Чешир', 'Оркестр', 'Ёж', 'Наполеон', 'Магистр']","['Инженер', 'Маг']",Юрия,Механизатор
6146,мафия,"['Маг', 'Стрекоза', 'Магистр', 'Юрия', 'Оркестр', 'Инженер']","['Ёж', 'Чешир']",Феликс,Юстас
6147,мафия,"['Стрекоза', 'Гость', 'Гость', 'Инженер', 'Феликс', 'Юрия']","['Ёж', 'Юстас']",Механизатор,Чешир
6148,мафия,"['Гость', 'Анабель', 'Чешир', 'Номерок', 'Руфер', 'Savitar']","['Элис', 'Юстас']",Феликс,Зефирка
